ID_Classe,Type_Etablissement,Niveau,Nb_Etudiants,Nom_Matiere,ID_Enseignant,ID_Salle,Capacite_Salle,Type_Salle,Jour,Heure_Debut,Heure_Fin,Nb_Tentatives,Version,H_Start,H_End,Util,Score
C0074,Centre_Soutien,Baccalaureat,8,MATH,T0053,R076,20,Generale,Lundi,16:00,18:00,1,42,16,18,0.4,43.22
C0074,Centre_Soutien,Baccalaureat,8,MATH,T0109,R033,15,Generale,Mercredi,08:00,10:00,1,42,8,10,0.5333333333333333,43.22
C0074,Centre_Soutien,Baccalaureat,8,PHYSIQUE,T0098,R017,15,Generale,Mardi,08:00,10:00,1,42,8,10,0.5333333333333333,43.22
C0074,Centre_Soutien,Baccalaureat,8,CHIMIE,T0078,R060,20,Generale,Vendredi,10:00,12:00,1,42,10,12,0.4,43.22
C0074,Centre_Soutien,Baccalaureat,8,CHIMIE,T0078,R002,20,Generale,Jeudi,10:00,12:00,1,42,10,12,0.4,43.22
C0074,Centre_Soutien,Baccalaureat,8,CHIMIE,T0084,R033,15,Generale,Lundi,14:00,16:00,1,42,14,16,0.5333333333333333,43.22
C0074,Centre_Soutien,Baccalaureat,8,FRANCAIS,T0129,R057,15,Generale,Vendredi,08:00,10:00,1,42,8,10,0.5333333333333333,43.22
C0074,Centre_Soutien,Baccalaureat,8,ANGLAIS,T0187,R033,15,Generale,Mardi,14:00,16:00,1,42,14,16,0.5333333333333333,43.22
C0074,Centre_Soutien,Baccalaureat,8,ANGLAIS,T0139,R079,15,Generale,Jeudi,14:00,16:00,1,42,14,16,0.5333333333333333,43.22
C0019,Centre_Soutien,Prepa,7,MATH,T0174,R079,15,Generale,Lundi,08:00,10:00,1,42,8,10,0.4666666666666667,43.22
C0019,Centre_Soutien,Prepa,7,MATH,T0172,R047,15,Generale,Mardi,10:00,12:00,1,42,10,12,0.4666666666666667,43.22
C0019,Centre_Soutien,Prepa,7,PHYSIQUE,T0098,R019,20,Generale,Mercredi,14:00,16:00,1,42,14,16,0.35,43.22
C0019,Centre_Soutien,Prepa,7,CHIMIE,T0080,R017,15,Generale,Mardi,14:00,16:00,1,42,14,16,0.4666666666666667,43.22
C0019,Centre_Soutien,Prepa,7,CHIMIE,T0080,R064,15,Generale,Mercredi,16:00,18:00,2,42,16,18,0.4666666666666667,43.22
C0019,Centre_Soutien,Prepa,7,CHIMIE,T0073,R076,20,Generale,Mercredi,08:00,10:00,1,42,8,10,0.35,43.22
C0019,Centre_Soutien,Prepa,7,FRANCAIS,T0142,R017,15,Generale,Jeudi,14:00,16:00,1,42,14,16,0.4666666666666667,43.22
C0019,Centre_Soutien,Prepa,7,ANGLAIS,T0071,R057,15,Generale,Jeudi,08:00,10:00,1,42,8,10,0.4666666666666667,43.22
C0019,Centre_Soutien,Prepa,7,ANGLAIS,T0139,R060,20,Generale,Mercredi,10:00,12:00,1,42,10,12,0.35,43.22
