ID_Classe,Type_Etablissement,Niveau,Nombre_Etudiants
C0001,Centre_Soutien,Tronc_Commun,15
C0002,Centre_Soutien,College,13
C0003,Universite,Licence_2,145
C0004,Universite,Licence_2,91
C0005,Universite,Master_1,177
C0006,Universite,Licence_1,175
C0007,Ecole_Standard,College,26
C0008,Universite,Master_1,153
C0009,Ecole_Standard,Baccalaureat,38
C0010,Universite,Licence_1,133
C0011,Universite,Master_1,152
C0012,Centre_Soutien,Prepa,8
C0013,Universite,Cycle_Ingenieur,108
C0014,Centre_Soutien,College,5
C0015,Ecole_Standard,Tronc_Commun,38
C0016,Centre_Soutien,Prepa,8
C0017,Centre_Soutien,Tronc_Commun,10
C0018,Universite,Master_1,163
C0019,Centre_Soutien,Prepa,7
C0020,Centre_Soutien,College,10
C0021,Ecole_Standard,Tronc_Commun,28
C0022,Centre_Soutien,Prepa,8
C0023,Ecole_Standard,College,26
C0024,Centre_Soutien,Prepa,14
C0025,Centre_Soutien,Tronc_Commun,7
C0026,Centre_Soutien,Baccalaureat,8
C0027,Ecole_Standard,Tronc_Commun,39
C0028,Centre_Soutien,Baccalaureat,12
C0029,Ecole_Standard,College,37
C0030,Universite,Cycle_Ingenieur,100
C0031,Ecole_Standard,Baccalaureat,36
C0032,Ecole_Standard,College,34
C0033,Centre_Soutien,Prepa,9
C0034,Universite,Licence_1,178
C0035,Ecole_Standard,Tronc_Commun,29
C0036,Centre_Soutien,Baccalaureat,11
C0037,Centre_Soutien,College,11
C0038,Ecole_Standard,Baccalaureat,31
C0039,Centre_Soutien,Baccalaureat,6
C0040,Centre_Soutien,Prepa,13
C0041,Centre_Soutien,College,7
C0042,Ecole_Standard,Tronc_Commun,36
C0043,Centre_Soutien,Baccalaureat,7
C0044,Ecole_Standard,Baccalaureat,37
C0045,Universite,Licence_1,75
C0046,Ecole_Standard,College,35
C0047,Centre_Soutien,Prepa,7
C0048,Universite,Licence_2,111
C0049,Universite,Master_1,90
C0050,Centre_Soutien,Baccalaureat,14
C0051,Centre_Soutien,Prepa,14
C0052,Centre_Soutien,Prepa,5
C0053,Centre_Soutien,Baccalaureat,15
C0054,Ecole_Standard,Tronc_Commun,34
C0055,Universite,Licence_1,146
C0056,Centre_Soutien,Baccalaureat,15
C0057,Universite,Licence_2,162
C0058,Ecole_Standard,Baccalaureat,40
C0059,Ecole_Standard,Baccalaureat,37
C0060,Ecole_Standard,Baccalaureat,32
C0061,Ecole_Standard,Baccalaureat,28
C0062,Ecole_Standard,College,39
C0063,Centre_Soutien,Prepa,7
C0064,Centre_Soutien,Tronc_Commun,11
C0065,Universite,Cycle_Ingenieur,178
C0066,Universite,Licence_1,160
C0067,Ecole_Standard,Baccalaureat,31
C0068,Universite,Master_1,154
C0069,Centre_Soutien,Prepa,10
C0070,Ecole_Standard,Tronc_Commun,35
C0071,Universite,Master_1,156
C0072,Universite,Master_1,148
C0073,Centre_Soutien,Tronc_Commun,8
C0074,Centre_Soutien,Baccalaureat,8
C0075,Centre_Soutien,Baccalaureat,8
C0076,Universite,Cycle_Ingenieur,110
C0077,Centre_Soutien,Baccalaureat,13
C0078,Universite,Master_1,106
C0079,Ecole_Standard,Baccalaureat,37
C0080,Centre_Soutien,Baccalaureat,7
C0081,Centre_Soutien,College,9
C0082,Universite,Licence_1,114
C0083,Centre_Soutien,Baccalaureat,12
C0084,Ecole_Standard,College,33
C0085,Universite,Master_1,87
C0086,Ecole_Standard,Baccalaureat,32
C0087,Ecole_Standard,College,32
C0088,Universite,Licence_2,76
C0089,Ecole_Standard,Tronc_Commun,35
C0090,Universite,Cycle_Ingenieur,82
C0091,Universite,Licence_2,70
C0092,Universite,Licence_2,122
C0093,Universite,Cycle_Ingenieur,131
C0094,Universite,Licence_2,166
C0095,Centre_Soutien,Baccalaureat,9
C0096,Universite,Licence_1,168
C0097,Ecole_Standard,Baccalaureat,32
C0098,Universite,Licence_1,92
C0099,Centre_Soutien,Tronc_Commun,5
C0100,Centre_Soutien,Prepa,7
C0101,Universite,Master_1,74
C0102,Ecole_Standard,Tronc_Commun,28
C0103,Centre_Soutien,Baccalaureat,12
C0104,Universite,Cycle_Ingenieur,87
C0105,Universite,Cycle_Ingenieur,104
C0106,Ecole_Standard,College,35
C0107,Ecole_Standard,Baccalaureat,39
C0108,Universite,Master_1,161
C0109,Ecole_Standard,College,35
C0110,Centre_Soutien,Tronc_Commun,7
C0111,Universite,Cycle_Ingenieur,175
C0112,Centre_Soutien,Baccalaureat,6
C0113,Centre_Soutien,College,7
C0114,Ecole_Standard,Tronc_Commun,35
C0115,Ecole_Standard,College,33
C0116,Centre_Soutien,Tronc_Commun,12
C0117,Centre_Soutien,Baccalaureat,9
C0118,Universite,Licence_1,103
C0119,Universite,Master_1,158
C0120,Ecole_Standard,College,28
C0121,Centre_Soutien,Baccalaureat,7
C0122,Centre_Soutien,Baccalaureat,6
C0123,Universite,Master_1,117
C0124,Universite,Licence_2,98
C0125,Ecole_Standard,Tronc_Commun,29
C0126,Centre_Soutien,Baccalaureat,11
C0127,Universite,Cycle_Ingenieur,166
C0128,Universite,Licence_2,167
C0129,Ecole_Standard,Baccalaureat,27
C0130,Universite,Cycle_Ingenieur,137
C0131,Universite,Master_1,79
C0132,Universite,Licence_1,77
C0133,Universite,Licence_2,143
C0134,Universite,Licence_2,91
C0135,Centre_Soutien,Prepa,6
C0136,Universite,Licence_2,161
C0137,Universite,Cycle_Ingenieur,81
C0138,Universite,Cycle_Ingenieur,173
C0139,Ecole_Standard,Tronc_Commun,29
C0140,Universite,Cycle_Ingenieur,128
C0141,Universite,Licence_1,141
C0142,Centre_Soutien,Baccalaureat,5
C0143,Centre_Soutien,Baccalaureat,5
C0144,Universite,Licence_2,144
C0145,Ecole_Standard,College,38
C0146,Centre_Soutien,College,13
C0147,Ecole_Standard,College,40
C0148,Ecole_Standard,Tronc_Commun,38
C0149,Ecole_Standard,College,38
C0150,Centre_Soutien,Prepa,12
