ID_Enseignant,Nom_Enseignant,Type_Etablissement,Matieres,Niveaux_Autorises,Heures_Max_Par_Semaine,Heures_Max_Consecutives,Creneaux_Indisponibles,Indice_Flexibilite
T0001,Prof_1,Universite,"['ECONOMIE', 'ANALYSE']",['Licence_2'],18,4,[],0.6
T0002,Prof_2,Universite,['ANALYSE'],"['Licence_1', 'Cycle_Ingenieur']",18,4,['Vendredi_15:00-18:00'],0.6
T0003,Prof_3,Universite,"['DROIT_CIVIL', 'BASE_DE_DONNEES']","['Licence_2', 'Cycle_Ingenieur']",10,4,[],0.6
T0004,Prof_4,Ecole_Standard,['ANGLAIS'],"['College', 'Baccalaureat']",22,4,[],0.2
T0005,Prof_5,Ecole_Standard,"['PHYSIQUE', 'ANGLAIS']","['Baccalaureat', 'Tronc_Commun']",24,4,[],0.2
T0006,Prof_6,Centre_Soutien,['SVT'],['Baccalaureat'],16,3,[],0.9
T0007,Prof_7,Centre_Soutien,['ANGLAIS'],['College'],12,3,[],0.9
T0008,Prof_8,Ecole_Standard,['PHYSIQUE'],"['Tronc_Commun', 'Baccalaureat']",22,4,[],0.2
T0009,Prof_9,Ecole_Standard,['ARABE'],"['Baccalaureat', 'College']",20,4,[],0.2
T0010,Prof_10,Universite,['MECANIQUE_QUANTIQUE'],"['Cycle_Ingenieur', 'Licence_2']",18,4,[],0.6
T0011,Prof_11,Universite,['BASE_DE_DONNEES'],['Licence_2'],14,4,[],0.6
T0012,Prof_12,Centre_Soutien,['PHYSIQUE'],"['Tronc_Commun', 'Baccalaureat']",16,3,[],0.9
T0013,Prof_13,Centre_Soutien,"['PHYSIQUE', 'ANGLAIS']","['Prepa', 'Baccalaureat']",8,3,[],0.9
T0014,Prof_14,Ecole_Standard,['PHYSIQUE'],['College'],24,4,['Vendredi_15:00-18:00'],0.2
T0015,Prof_15,Centre_Soutien,['SVT'],"['Prepa', 'Baccalaureat']",16,3,['Lundi_08:00-10:00'],0.9
T0016,Prof_16,Universite,"['ECONOMIE', 'RESEAUX']","['Licence_1', 'Licence_2']",14,4,[],0.6
T0017,Prof_17,Ecole_Standard,['FRANCAIS'],['Baccalaureat'],24,4,[],0.2
T0018,Prof_18,Centre_Soutien,['FRANCAIS'],['Tronc_Commun'],8,3,[],0.9
T0019,Prof_19,Universite,['ALGEBRE'],"['Cycle_Ingenieur', 'Licence_1']",14,4,['Samedi_09:00-12:00'],0.6
T0020,Prof_20,Ecole_Standard,"['PHYSIQUE', 'INFORMATIQUE']","['College', 'Baccalaureat']",24,4,['Mercredi_14:00-16:00'],0.2
T0021,Prof_21,Ecole_Standard,['SVT'],['Baccalaureat'],24,4,[],0.2
T0022,Prof_22,Ecole_Standard,['SVT'],"['Tronc_Commun', 'Baccalaureat']",20,4,['Vendredi_15:00-18:00'],0.2
T0023,Prof_23,Centre_Soutien,"['FRANCAIS', 'PHYSIQUE']",['College'],8,3,['Lundi_08:00-10:00'],0.9
T0024,Prof_24,Ecole_Standard,['ANGLAIS'],['Baccalaureat'],20,4,['Mercredi_14:00-16:00'],0.2
T0025,Prof_25,Universite,"['BIOLOGIE', 'ANALYSE']","['Cycle_Ingenieur', 'Licence_1']",14,4,['Mercredi_14:00-16:00'],0.6
T0026,Prof_26,Centre_Soutien,['ANGLAIS'],['College'],8,3,['Samedi_09:00-12:00'],0.9
T0027,Prof_27,Ecole_Standard,"['INFORMATIQUE', 'PHILOSOPHIE']",['Tronc_Commun'],20,4,['Mercredi_14:00-16:00'],0.2
T0028,Prof_28,Ecole_Standard,['INFORMATIQUE'],['College'],24,4,[],0.2
T0029,Prof_29,Ecole_Standard,['ARABE'],['Tronc_Commun'],20,4,[],0.2
T0030,Prof_30,Centre_Soutien,['PHYSIQUE'],"['College', 'Tronc_Commun']",12,3,['Mercredi_14:00-16:00'],0.9
T0031,Prof_31,Centre_Soutien,['ANGLAIS'],"['Tronc_Commun', 'College']",16,3,['Lundi_08:00-10:00'],0.9
T0032,Prof_32,Universite,['BASE_DE_DONNEES'],['Licence_1'],18,4,[],0.6
T0033,Prof_33,Universite,"['ANALYSE', 'RESEAUX']",['Licence_1'],18,4,[],0.6
T0034,Prof_34,Ecole_Standard,['ARABE'],['Baccalaureat'],22,4,['Samedi_09:00-12:00'],0.2
T0035,Prof_35,Ecole_Standard,['ANGLAIS'],['Tronc_Commun'],24,4,[],0.2
T0036,Prof_36,Universite,['BASE_DE_DONNEES'],['Licence_1'],18,4,[],0.6
T0037,Prof_37,Ecole_Standard,"['ARABE', 'FRANCAIS']",['Tronc_Commun'],20,4,[],0.2
T0038,Prof_38,Centre_Soutien,['SVT'],"['College', 'Baccalaureat']",12,3,[],0.9
T0039,Prof_39,Universite,"['MECANIQUE_QUANTIQUE', 'BIOLOGIE']",['Licence_1'],10,4,[],0.6
T0040,Prof_40,Centre_Soutien,['PHYSIQUE'],"['Tronc_Commun', 'Baccalaureat']",12,3,[],0.9
T0041,Prof_41,Universite,['ALGEBRE'],['Cycle_Ingenieur'],10,4,[],0.6
T0042,Prof_42,Ecole_Standard,['CHIMIE'],"['College', 'Tronc_Commun']",22,4,[],0.2
T0043,Prof_43,Universite,"['ANALYSE', 'BASE_DE_DONNEES']",['Licence_1'],18,4,[],0.6
T0044,Prof_44,Universite,"['MECANIQUE_QUANTIQUE', 'ALGEBRE']","['Master_1', 'Licence_1']",10,4,[],0.6
T0045,Prof_45,Universite,['ANALYSE'],"['Cycle_Ingenieur', 'Master_1']",10,4,[],0.6
T0046,Prof_46,Ecole_Standard,['CHIMIE'],"['College', 'Baccalaureat']",22,4,[],0.2
T0047,Prof_47,Centre_Soutien,['ANGLAIS'],['Baccalaureat'],12,3,['Lundi_08:00-10:00'],0.9
T0048,Prof_48,Ecole_Standard,['ARABE'],['Tronc_Commun'],20,4,[],0.2
T0049,Prof_49,Ecole_Standard,"['ARABE', 'SVT']","['Tronc_Commun', 'College']",22,4,[],0.2
T0050,Prof_50,Centre_Soutien,['SVT'],"['College', 'Prepa']",12,3,[],0.9
T0051,Prof_51,Ecole_Standard,['FRANCAIS'],['College'],22,4,[],0.2
T0052,Prof_52,Universite,['RESEAUX'],['Cycle_Ingenieur'],10,4,[],0.6
T0053,Prof_53,Centre_Soutien,"['SVT', 'MATH']",['Baccalaureat'],16,3,[],0.9
T0054,Prof_54,Centre_Soutien,['ANGLAIS'],['Baccalaureat'],16,3,[],0.9
T0055,Prof_55,Centre_Soutien,['ANGLAIS'],"['Tronc_Commun', 'College']",12,3,[],0.9
T0056,Prof_56,Universite,['MECANIQUE_QUANTIQUE'],"['Cycle_Ingenieur', 'Master_1']",14,4,[],0.6
T0057,Prof_57,Centre_Soutien,['FRANCAIS'],"['Prepa', 'Tronc_Commun']",8,3,[],0.9
T0058,Prof_58,Universite,['MECANIQUE_QUANTIQUE'],['Master_1'],18,4,[],0.6
T0059,Prof_59,Universite,['DROIT_CIVIL'],"['Licence_2', 'Licence_1']",10,4,['Lundi_08:00-10:00'],0.6
T0060,Prof_60,Centre_Soutien,['MATH'],"['Prepa', 'Baccalaureat']",16,3,[],0.9
T0061,Prof_61,Universite,['RESEAUX'],['Licence_2'],10,4,[],0.6
T0062,Prof_62,Ecole_Standard,['ARABE'],['Baccalaureat'],20,4,[],0.2
T0063,Prof_63,Universite,['ANALYSE'],"['Licence_2', 'Cycle_Ingenieur']",18,4,[],0.6
T0064,Prof_64,Universite,['BIOLOGIE'],"['Cycle_Ingenieur', 'Licence_1']",14,4,[],0.6
T0065,Prof_65,Centre_Soutien,['PHYSIQUE'],"['Prepa', 'Baccalaureat']",8,3,['Mercredi_14:00-16:00'],0.9
T0066,Prof_66,Universite,['ECONOMIE'],"['Master_1', 'Cycle_Ingenieur']",10,4,['Vendredi_15:00-18:00'],0.6
T0067,Prof_67,Centre_Soutien,['ANGLAIS'],['College'],12,3,[],0.9
T0068,Prof_68,Universite,['ALGEBRE'],['Cycle_Ingenieur'],18,4,[],0.6
T0069,Prof_69,Universite,"['RESEAUX', 'DROIT_CIVIL']",['Master_1'],14,4,['Mercredi_14:00-16:00'],0.6
