ID_Matiere,Nom_Matiere,Type_Etablissement,Heures_Hebdo_Requises,Necessite_Labo
SUB_ECOLE_STANDARD_MATH,MATH,Ecole_Standard,6,False
SUB_ECOLE_STANDARD_PHYSIQUE,PHYSIQUE,Ecole_Standard,4,True
SUB_ECOLE_STANDARD_CHIMIE,CHIMIE,Ecole_Standard,4,False
SUB_ECOLE_STANDARD_ARABE,ARABE,Ecole_Standard,4,False
SUB_ECOLE_STANDARD_FRANCAIS,FRANCAIS,Ecole_Standard,6,False
SUB_ECOLE_STANDARD_ANGLAIS,ANGLAIS,Ecole_Standard,6,False
SUB_ECOLE_STANDARD_SVT,SVT,Ecole_Standard,6,True
SUB_ECOLE_STANDARD_PHILOSOPHIE,PHILOSOPHIE,Ecole_Standard,6,False
SUB_ECOLE_STANDARD_INFORMATIQUE,INFORMATIQUE,Ecole_Standard,2,False
SUB_CENTRE_SOUTIEN_MATH,MATH,Centre_Soutien,4,False
SUB_CENTRE_SOUTIEN_PHYSIQUE,PHYSIQUE,Centre_Soutien,2,False
SUB_CENTRE_SOUTIEN_CHIMIE,CHIMIE,Centre_Soutien,6,False
SUB_CENTRE_SOUTIEN_SVT,SVT,Centre_Soutien,2,True
SUB_CENTRE_SOUTIEN_FRANCAIS,FRANCAIS,Centre_Soutien,2,False
SUB_CENTRE_SOUTIEN_ANGLAIS,ANGLAIS,Centre_Soutien,4,False
SUB_UNIVERSITE_ALGEBRE,ALGEBRE,Universite,6,False
SUB_UNIVERSITE_ANALYSE,ANALYSE,Universite,2,False
SUB_UNIVERSITE_MECANIQUE_QUANTIQUE,MECANIQUE_QUANTIQUE,Universite,4,False
SUB_UNIVERSITE_DROIT_CIVIL,DROIT_CIVIL,Universite,6,False
SUB_UNIVERSITE_ECONOMIE,ECONOMIE,Universite,4,False
SUB_UNIVERSITE_BASE_DE_DONNEES,BASE_DE_DONNEES,Universite,2,False
SUB_UNIVERSITE_RESEAUX,RESEAUX,Universite,4,False
SUB_UNIVERSITE_BIOLOGIE,BIOLOGIE,Universite,6,True
