ID_Salle,Type_Etablissement,Capacite,Type_Salle
R001,Ecole_Standard,40,Labo_Science
R002,Centre_Soutien,20,Generale
R003,Ecole_Standard,30,Labo_Informatique
R004,Ecole_Standard,30,Labo_Science
R005,Ecole_Standard,35,Generale
R006,Centre_Soutien,10,Generale
R007,Ecole_Standard,35,Labo_Science
R008,Ecole_Standard,30,Labo_Science
R009,Universite,200,Amphitheatre
R010,Universite,200,Amphitheatre
R011,Universite,80,Laboratoire
R012,Centre_Soutien,10,Generale
R013,Ecole_Standard,40,Labo_Science
R014,Ecole_Standard,40,Generale
R015,Universite,150,Amphitheatre
R016,Universite,200,Amphitheatre
R017,Centre_Soutien,15,Generale
R018,Universite,150,Laboratoire
R019,Centre_Soutien,20,Generale
R020,Centre_Soutien,10,Generale
R021,Ecole_Standard,40,Generale
R022,Universite,200,Laboratoire
R023,Ecole_Standard,30,Labo_Informatique
R024,Universite,150,Amphitheatre
R025,Universite,150,Laboratoire
R026,Universite,80,Amphitheatre
R027,Ecole_Standard,40,Labo_Science
R028,Ecole_Standard,35,Generale
R029,Ecole_Standard,30,Generale
R030,Centre_Soutien,15,Generale
R031,Universite,150,Laboratoire
R032,Ecole_Standard,40,Generale
R033,Centre_Soutien,15,Generale
R034,Universite,150,Laboratoire
R035,Ecole_Standard,35,Labo_Science
R036,Centre_Soutien,20,Generale
R037,Centre_Soutien,15,Generale
R038,Centre_Soutien,20,Generale
R039,Centre_Soutien,20,Generale
R040,Ecole_Standard,40,Labo_Science
R041,Ecole_Standard,35,Generale
R042,Universite,150,Laboratoire
R043,Ecole_Standard,30,Labo_Informatique
R044,Universite,150,Laboratoire
R045,Centre_Soutien,20,Generale
R046,Ecole_Standard,40,Labo_Science
R047,Centre_Soutien,15,Generale
R048,Universite,150,Laboratoire
R049,Centre_Soutien,20,Generale
R050,Ecole_Standard,40,Labo_Science
R051,Centre_Soutien,20,Generale
R052,Ecole_Standard,30,Labo_Science
R053,Ecole_Standard,30,Generale
R054,Ecole_Standard,40,Labo_Informatique
R055,Centre_Soutien,15,Generale
R056,Universite,80,Laboratoire
R057,Centre_Soutien,15,Generale
R058,Ecole_Standard,40,Generale
R059,Universite,150,Laboratoire
R060,Centre_Soutien,20,Generale
R061,Ecole_Standard,30,Generale
R062,Universite,80,Laboratoire
R063,Universite,150,Amphitheatre
R064,Centre_Soutien,15,Generale
R065,Ecole_Standard,40,Labo_Informatique
R066,Universite,150,Amphitheatre
R067,Ecole_Standard,30,Generale
R068,Centre_Soutien,10,Generale
R069,Ecole_Standard,40,Labo_Informatique
R070,Universite,150,Amphitheatre
R071,Universite,200,Laboratoire
R072,Centre_Soutien,10,Generale
R073,Centre_Soutien,20,Generale
R074,Ecole_Standard,30,Generale
R075,Ecole_Standard,35,Generale
R076,Centre_Soutien,20,Generale
R077,Centre_Soutien,20,Generale
R078,Universite,80,Amphitheatre
R079,Centre_Soutien,15,Generale
R080,Universite,150,Laboratoire
