ID_Matiere,Nom_Matiere,Type_Etablissement,Heures_Hebdo_Requises,Necessite_Labo
SUB_MATH,MATH,Ecole_Standard,6,False
SUB_PHYSIQUE,PHYSIQUE,Ecole_Standard,4,True
SUB_CHIMIE,CHIMIE,Ecole_Standard,4,False
SUB_ARABE,ARABE,Ecole_Standard,4,False
SUB_FRANCAIS,FRANCAIS,Ecole_Standard,6,False
SUB_ANGLAIS,ANGLAIS,Ecole_Standard,6,False
SUB_SVT,SVT,Ecole_Standard,6,True
SUB_PHILOSOPHIE,PHILOSOPHIE,Ecole_Standard,6,False
SUB_INFORMATIQUE,INFORMATIQUE,Ecole_Standard,2,False
SUB_MATH,MATH,Centre_Soutien,4,False
SUB_PHYSIQUE,PHYSIQUE,Centre_Soutien,2,False
SUB_CHIMIE,CHIMIE,Centre_Soutien,6,False
SUB_SVT,SVT,Centre_Soutien,2,True
SUB_FRANCAIS,FRANCAIS,Centre_Soutien,2,False
SUB_ANGLAIS,ANGLAIS,Centre_Soutien,4,False
SUB_ALGEBRE,ALGEBRE,Universite,6,False
SUB_ANALYSE,ANALYSE,Universite,2,False
SUB_MECANIQUE_QUANTIQUE,MECANIQUE_QUANTIQUE,Universite,4,False
SUB_DROIT_CIVIL,DROIT_CIVIL,Universite,6,False
SUB_ECONOMIE,ECONOMIE,Universite,4,False
SUB_BASE_DE_DONNEES,BASE_DE_DONNEES,Universite,2,False
SUB_RESEAUX,RESEAUX,Universite,4,False
SUB_BIOLOGIE,BIOLOGIE,Universite,6,True
